0
Thickness Average (aparc.stats) of RightTemporalPole
LateralVentricle_R
Surface Area (aparc.stats) of LeftRostralAnteriorCingulate
Cortical Volume (aparc.stats) of LeftParsTriangularis
Surface Area (aparc.stats) of LeftRostralMiddleFrontal
Cortical Volume (aparc.stats) of RightLateralOrbitofrontal
Thickness Average (aparc.stats) of RightBankssts
Cortical Volume (aparc.stats) of RightEntorhinal
Surface Area (aparc.stats) of RightCaudalAnteriorCingulate
Thickness Average (aparc.stats) of LeftParsOrbitalis
Cortical Volume (aparc.stats) of LeftLateralOrbitofrontal
Cortical Volume (aparc.stats) of LeftCaudalAnteriorCingulate
Surface Area (aparc.stats) of RightParahippocampal
Cortical Volume (aparc.stats) of Icv
Cortical Volume (aparc.stats) of LeftTransverseTemporal
Thickness Average (aparc.stats) of LeftSuperiorTemporal
Hippocampus_R
Thickness Stardard Deviation (aparc.stats) of LeftRostralAnteriorCingulate
Cortical Volume (aparc.stats) of LeftPosteriorCingulate
Thickness Average (aparc.stats) of RightParahippocampal
Surface Area (aparc.stats) of RightLateralOrbitofrontal
Subcortical Volume (aseg.stats) of CorpusCallosumPosterior
Cortical Volume (aparc.stats) of RightParsOpercularis
Cortical Volume (aparc.stats) of RightMiddleTemporal
Surface Area (aparc.stats) of RightMedialOrbitofrontal
Thickness Stardard Deviation (aparc.stats) of LeftTemporalPole
Surface Area (aparc.stats) of LeftMedialOrbitofrontal
Subcortical Volume (aseg.stats) of FourthVentricle
Thickness Average (aparc.stats) of LeftMiddleTemporal
Thickness Average (aparc.stats) of RightCaudalMiddleFrontal
Surface Area (aparc.stats) of RightSuperiorTemporal
Surface Area (aparc.stats) of LeftInsula
Thickness Average (aparc.stats) of RightMiddleTemporal
Parahippocampal_L
Thickness Stardard Deviation (aparc.stats) of RightEntorhinal
Subcortical Volume (aseg.stats) of CorpusCallosumMidPosterior
Subcortical Volume (aseg.stats) of Brainstem
Thickness Average (aparc.stats) of RightMedialOrbitofrontal
Subcortical Volume (aseg.stats) of RightPutamen
Thickness Average (aparc.stats) of LeftParahippocampal
Thickness Stardard Deviation (aparc.stats) of RightRostralAnteriorCingulate
Thickness Average (aparc.stats) of RightRostralMiddleFrontal
Cortical Volume (aparc.stats) of RightInsula
Thickness Average (aparc.stats) of RightParacentral
Cortical Volume (aparc.stats) of RightCaudalMiddleFrontal
Thickness Stardard Deviation (aparc.stats) of LeftCaudalAnteriorCingulate
Subcortical Volume (aseg.stats) of RightPallidum
Cortical Volume (aparc.stats) of RightBankssts
Cortical Volume (aparc.stats) of RightMedialOrbitofrontal
Surface Area (aparc.stats) of LeftMiddleTemporal
Cortical Volume (aparc.stats) of LeftMiddleTemporal
Subcortical Volume (aseg.stats) of CorpusCallosumAnterior
Subcortical Volume (aseg.stats) of LeftChoroidPlexus
Cortical Volume (aparc.stats) of LeftFrontalPole
Surface Area (aparc.stats) of LeftInferiorTemporal
Thickness Stardard Deviation (aparc.stats) of LeftPosteriorCingulate
Thickness Average (aparc.stats) of RightIsthmusCingulate
Thickness Average (aparc.stats) of RightCaudalAnteriorCingulate
Thickness Average (aparc.stats) of RightLateralOrbitofrontal
Thickness Average (aparc.stats) of RightTransverseTemporal
Surface Area (aparc.stats) of RightPosteriorCingulate
Thickness Average (aparc.stats) of LeftFrontalPole
Surface Area (aparc.stats) of LeftTransverseTemporal
Surface Area (aparc.stats) of RightInsula
Surface Area (aparc.stats) of LeftIsthmusCingulate
Surface Area (aparc.stats) of RightRostralAnteriorCingulate
Cortical Volume (aparc.stats) of RightIsthmusCingulate
